year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2020,VEN,dpex,10,0,10,10
2021,VEN,dpex,10,0,10,10
2017,VNM,dpex,4.5450563,.61904269,3.7526817,5.337431
2018,VNM,dpex,4.0227466,.50100076,3.3814657,4.6640277
2019,VNM,dpex,4.1310391,.52266723,3.4620252,4.8000531
2020,VNM,dpex,4.6516409,.44353482,4.0839162,5.2193656
2021,VNM,dpex,4.6530771,.52545524,3.9804945,5.3256598
2019,VUT,dpex,10,0,10,10
2020,VUT,dpex,10,0,10,10
2021,VUT,dpex,10,0,10,10
2018,WSM,dpex,10,0,10,10
2019,WSM,dpex,10,0,10,10
2020,WSM,dpex,10,0,10,10
2021,WSM,dpex,10,0,10,10
2017,AGO,exkill,4.5346942,.79206324,3.5208533,5.5485353
2018,AGO,exkill,4.7773509,.35445854,4.3236442,5.2310576
2019,AGO,exkill,4.4846039,.39798516,3.9751828,4.9940248
2020,AGO,exkill,3.1740878,.56926262,2.4454317,3.9027438
2021,AGO,exkill,2.8877652,.78143287,1.887531,3.8879993
2017,AUS,exkill,7.8655891,.25205529,7.5429583,8.18822
2018,AUS,exkill,7.3167939,.26287878,6.980309,7.6532788
2019,AUS,exkill,6.3268409,.23661907,6.0239687,6.6297131
2020,AUS,exkill,6.8936467,.31056878,6.4961185,7.2911749
2021,AUS,exkill,8.3775473,.46765539,7.7789483,8.9761457
2017,BRA,exkill,2.9518216,.50798398,2.3016021,3.602041
2018,BRA,exkill,2.7957063,.20429558,2.5342078,3.0572047
2019,BRA,exkill,2.534663,.17480986,2.3109064,2.7584195
2020,BRA,exkill,3.1532183,.28321207,2.7907069,3.5157297
2021,BRA,exkill,3.15908,.48497331,2.5383141,3.779846
2020,CHN,exkill,5.6358738,.20134205,5.3781562,5.8935914
2021,CHN,exkill,5.6328707,.20505565,5.3703995,5.8953419
2018,COD,exkill,3.849519,.46746546,3.2511632,4.447875
2019,COD,exkill,4.730629,.40200856,4.2160578,5.2452002
2020,COD,exkill,4.6172485,.44435263,4.0484772,5.1860199
2021,COD,exkill,5.0100331,.73047453,4.0750256,5.9450407
2018,COK,exkill,8.1631746,.99645984,6.8877058,9.4386435
2019,COK,exkill,8.3811569,.40144056,7.8673129,8.8950005
2020,COK,exkill,8.5211868,.24762078,8.2042322,8.8381414
2021,COK,exkill,8.6074343,.40119773,8.0939016,9.1209669
2017,FJI,exkill,6.7777905,.7036314,5.8771424,7.6784387
2018,FJI,exkill,7.5976872,.4073993,7.0762162,8.1191587
2019,FJI,exkill,7.9515357,.38372296,7.4603705,8.4427013
2020,FJI,exkill,7.7889414,.26617759,7.4482341,8.1296492
2021,FJI,exkill,7.8627329,.29358169,7.4869485,8.2385178
2020,FSM,exkill,8.9688864,.92119247,7.7897601,10.148013
2017,GBR,exkill,7.4723253,.32868353,7.0516105,7.8930402
2018,GBR,exkill,7.2861056,.28830552,6.9170747,7.6551366
2019,GBR,exkill,6.8112845,.29949462,6.4279313,7.1946378
2020,GBR,exkill,7.4944057,.30693823,7.1015248,7.8872867
2021,GBR,exkill,8.1557236,.37000459,7.6821175,8.6293297
2018,GUM,exkill,7.8792596,.59416318,7.1187305,8.6397886
2019,GUM,exkill,7.8684955,.42352787,7.3263798,8.4106112
2020,GUM,exkill,7.6733689,.45944107,7.0852842,8.2614536
2019,HKG,exkill,8.6274519,.4106473,8.1018238,9.15308
2020,HKG,exkill,8.1431074,.26078707,7.8092999,8.4769144
2021,HKG,exkill,8.1040335,.34517142,7.6622143,8.5458527
2020,IND,exkill,5.0361028,.50600314,4.3884187,5.6837869
2021,IND,exkill,5.3812852,.47538087,4.7727976,5.9897728
2017,JOR,exkill,7.0454102,.87308365,5.9278631,8.1629572
2018,JOR,exkill,7.5104599,.64182758,6.6889205,8.3319988
2019,JOR,exkill,8.0556755,.56181115,7.3365574,8.7747936
2020,JOR,exkill,7.6574545,.57853347,6.9169316,8.3979769
2021,JOR,exkill,7.1376152,1.0319065,5.8167748,8.4584551
2017,KAZ,exkill,6.9010754,.43132335,6.3489814,7.4531693
2018,KAZ,exkill,7.0642161,.26254126,6.7281632,7.400269
2019,KAZ,exkill,6.6794848,.3118141,6.2803626,7.0786071
2020,KAZ,exkill,6.6903901,.34473509,6.2491293,7.1316509
2021,KAZ,exkill,5.9043975,.59674793,5.1405602,6.6682348
2017,KGZ,exkill,7.8515701,.40297583,7.3357611,8.3673792
2018,KGZ,exkill,7.8259277,.28895479,7.4560657,8.1957903
2019,KGZ,exkill,7.7699952,.34086329,7.3336902,8.2062998
2020,KGZ,exkill,7.2288351,.36060068,6.7672663,7.6904039
2021,KGZ,exkill,7.160809,.40859228,6.6378107,7.6838074
2019,KIR,exkill,7.0805411,1.0298338,5.7623539,8.3987284
2020,KIR,exkill,7.9908385,.58940262,7.236403,8.7452736
2021,KIR,exkill,8.4075651,.66450143,7.5570035,9.2581272
2018,KOR,exkill,8.5830517,.76754075,7.6005993,9.5655041
2019,KOR,exkill,8.8844938,.75247127,7.9213305,9.8476572
2020,KOR,exkill,8.8208799,.33374864,8.3936815,9.2480783
2021,KOR,exkill,8.959919,.35214797,8.5091696,9.4106684
2017,LBR,exkill,6.3930597,.68557167,5.5155282,7.2705913
2018,LBR,exkill,6.9377866,.47872579,6.3250175,7.5505557
2019,LBR,exkill,6.0399485,.80217379,5.013166,7.066731
2020,LBR,exkill,5.6769552,1.0262278,4.3633838,6.9905267
2021,LBR,exkill,6.3007736,1.3609836,4.5587144,8.0428324
2017,MEX,exkill,3.3438988,.54128963,2.6510479,4.0367494
2018,MEX,exkill,3.5675058,.44363636,2.9996512,4.1353602
2019,MEX,exkill,4.1654115,.3692587,3.6927602,4.6380625
2020,MEX,exkill,4.3661027,.34569436,3.923614,4.8085914
2021,MEX,exkill,5.1082048,.49401498,4.4758658,5.7405438
2019,MHL,exkill,7.3965287,1.1098064,5.9759765,8.8170805
2020,MHL,exkill,6.8808832,.75135869,5.9191442,7.8426223
2017,MOZ,exkill,4.5120001,.56275636,3.791672,5.2323284
2018,MOZ,exkill,5.1459556,.43565673,4.588315,5.7035961
2019,MOZ,exkill,4.7300501,.41177192,4.2029819,5.2571182
2020,MOZ,exkill,4.0035019,.42607781,3.4581223,4.5488815
2021,MOZ,exkill,4.0264421,.96971118,2.7852118,5.2676725
2019,MYS,exkill,6.6927004,.35441536,6.239049,7.1463518
2020,MYS,exkill,7.0138893,.3013635,6.6281443,7.3996344
2021,MYS,exkill,6.8837066,.8612932,5.7812514,7.9861617
2018,NCL,exkill,8.2095127,.63030714,7.4027195,9.0163059
2019,NCL,exkill,8.0706816,.36208215,7.6072164,8.5341463
2020,NCL,exkill,8.1472836,.29656726,7.7676773,8.5268898
2021,NCL,exkill,8.2208385,.46784776,7.6219935,8.819684
2018,NIU,exkill,8.2464542,.53769624,7.5582032,8.9347057
2019,NIU,exkill,8.6785574,.4252083,8.1342907,9.2228241
2020,NIU,exkill,9.0752811,.56196487,8.3559666,9.7945957
2019,NMI,exkill,7.889957,.77343583,6.8999591,8.8799553
2020,NMI,exkill,7.9456902,1.1521498,6.4709382,9.4204416
2017,NPL,exkill,6.7098756,.93715018,5.5103235,7.9094276
2018,NPL,exkill,6.2367353,.4311552,5.6848569,6.7886138
2019,NPL,exkill,5.8760428,.33554041,5.4465513,6.3055344
2020,NPL,exkill,6.8706193,.34501031,6.4290061,7.3122325
2018,NRU,exkill,6.81775,1.0373901,5.4898906,8.1456089
2019,NRU,exkill,7.4002156,.63977641,6.5813017,8.2191296
2017,NZL,exkill,7.8974228,.26581556,7.557179,8.2376671
2018,NZL,exkill,7.7787032,.20239128,7.5196424,8.0377636
2019,NZL,exkill,7.6921492,.18777588,7.4517961,7.9325023
2020,NZL,exkill,8.1207733,.22475168,7.8330913,8.4084558
2021,NZL,exkill,8.5701342,.29632476,8.1908388,8.9494295
2018,PNG,exkill,5.8452811,.49510121,5.2115517,6.4790106
2019,PNG,exkill,6.181056,.47889018,5.5680766,6.7940354
2020,PNG,exkill,6.8059464,.62195957,6.0098381,7.6020546
2021,PNG,exkill,5.3029265,1.1788802,3.7939599,6.811893
2019,PYF,exkill,8.1981535,.86865073,7.0862803,9.3100262
2020,PYF,exkill,8.4277849,.56582993,7.7035227,9.1520472
