year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2019,5,SLB,vmvpfaff,6.9527817,0.97017539,5.7109571,8.1946058
2019,5,SLB,vwomen,2.079437,0.88550764,0.94598722,3.2128868
2020,6,SLB,climate,4.8333335,0.98319209,,
2020,6,SLB,culture,3.1666667,1.7224014,,
2020,6,SLB,indigland,4,1.0954452,,
2020,6,SLB,indigsov,3.5,1.3784049,,
2020,6,SLB,vchild,3.6769695,0.77117407,2.6898668,4.6640725
2020,6,SLB,vdisab,4.3288565,1.1637989,2.8391938,5.8185191
2020,6,SLB,vmvpfaff,3.9598284,1.2817786,2.3191519,5.6005049
2020,6,SLB,vwomen,1.8105021,0.86314601,0.70567518,2.915329
2021,4,SLB,climate,5,0.81649661,,
2021,4,SLB,culture,4.75,1.5,,
2021,4,SLB,indigland,5,1.1547005,,
2021,4,SLB,indigsov,5,0.81649661,,
2021,4,SLB,vchild,5.608089,1.4670898,3.7302141,7.4859638
2021,4,SLB,vdisab,7.1683211,1.7306838,4.9530458,9.3835964
2021,4,SLB,vmvpfaff,4.9398265,2.023931,2.3491948,7.530458
2021,4,SLB,vwomen,5.4012461,1.3750683,3.6411586,7.1613336
2019,12,TON,climate,4,1.4142135,,
2019,12,TON,culture,4.6666665,1.7232809,,
2019,12,TON,indigland,3.5,1.4459976,,
2019,12,TON,indigsov,3.9166667,1.9286516,,
2019,12,TON,vchild,4.8706508,0.71766394,3.9520409,5.7892604
2019,12,TON,vdisab,5.3493662,0.82220989,4.2969375,6.4017949
2019,12,TON,vmvpfaff,5.0032282,0.74336606,4.0517197,5.9547367
2019,12,TON,vwomen,4.1692638,0.67803735,3.3013761,5.0371518
2020,8,TON,climate,3.75,1.6690459,,
2020,8,TON,culture,4.75,1.2817398,,
2020,8,TON,indigland,4,1.6035675,,
2020,8,TON,indigsov,4.625,1.187735,,
2020,8,TON,vchild,4.3451176,0.86820585,3.233814,5.4564209
2020,8,TON,vdisab,5.0306201,1.179298,3.5211186,6.5401216
2020,8,TON,vmvpfaff,5.7570577,1.057155,4.4038992,7.1102161
2020,8,TON,vwomen,4.3919835,0.78457624,3.3877258,5.3962412
